MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 4.Confirmation time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 4.Transparency,UAV.On-board analysis system 4.Analysis time,UAV.On-board analysis system 4.Image recognition algorithm accuracy,UAV.On-board analysis system 4.Transmission delay,UAV.On-board navigation system 4.Navigation algorithm accuracy
37.5000,0.0195,0.0137,0.0011,0.0007,13.0803,4.1331,0.0225,11.7809,8.6580,0.0260,0.1090,0.0237,0.1090,1.7690,20.7765,-6.9696,91.1057,0.2678,0.0013,0.2321,91.1071,0.5348,100.0000,100.0000,0.0422,0.0086,0.1814,1.0000,0.4372,0.9944,0.8681,0.9881
37.5000,0.0297,0.0116,0.0008,0.0007,16.0359,0.7585,0.2157,11.1758,9.9703,0.0247,0.1336,0.0177,0.1336,1.3267,3.8213,-35.6825,110.6034,0.3096,0.0020,0.3259,110.6055,0.6784,100.0000,100.0000,0.0084,0.0085,0.3090,1.0000,0.3628,0.9817,1.3676,0.9897
37.5000,0.0250,0.0111,0.0007,0.0010,13.5437,3.9485,0.5164,1.8830,8.4356,0.0220,0.1129,0.0247,0.1129,1.3794,18.6194,-11.2767,93.5863,0.2724,0.0014,0.2461,93.5877,0.5564,100.0000,100.0000,0.0402,0.0134,0.1925,1.0000,0.4747,0.9892,0.5641,0.9981
37.5000,0.0291,0.0084,0.0011,0.0007,9.7798,2.0327,0.6475,13.9617,9.4451,0.0187,0.0947,0.0211,0.0947,1.0204,31.6679,7.8905,78.5808,0.2293,0.0011,0.1920,78.5819,0.4605,100.0000,100.0000,0.0210,0.0133,0.1578,1.0000,0.2789,0.9964,1.1858,0.9836
37.5000,0.0296,0.0168,0.0011,0.0008,12.9342,4.0676,0.2592,9.8523,9.3431,0.0280,0.1078,0.0275,0.1078,1.6419,21.3616,-11.0531,90.4328,0.2711,0.0013,0.2359,90.4341,0.5553,100.0000,100.0000,0.0415,0.0158,0.1787,1.0000,0.4401,0.9877,0.8721,0.9941
37.5000,0.0173,0.0084,0.0008,0.0008,8.3810,1.6379,0.2138,12.5919,8.6229,0.0290,0.0698,0.0264,0.0698,1.6005,47.6328,22.5697,60.2214,0.1951,0.0009,0.1648,60.2223,0.3872,100.0000,100.0000,0.0171,0.0123,0.1354,1.0000,0.3999,0.9854,0.6651,0.9982
37.5000,0.0314,0.0149,0.0011,0.0009,10.4681,5.2266,0.1908,17.6457,9.1490,0.0278,0.1059,0.0260,0.1059,1.6995,22.6887,-4.0991,88.9069,0.2657,0.0011,0.2067,88.9080,0.5205,82.3543,82.3543,0.0644,0.0144,0.1278,1.0000,0.4299,0.9972,1.2239,0.9979
37.5000,0.0295,0.0119,0.0010,0.0007,16.6555,2.1541,0.6343,8.2718,9.4759,0.0185,0.1388,0.0276,0.1388,1.0377,1.0342,-38.0551,113.8087,0.3236,0.0020,0.3236,113.8107,0.6903,100.0000,100.0000,0.0222,0.0102,0.2912,1.0000,0.3044,0.9883,0.8573,0.9970
37.5000,0.0230,0.0097,0.0006,0.0006,12.9680,4.9209,0.3185,2.6201,8.9766,0.0283,0.1081,0.0217,0.1081,1.5904,21.1266,-5.0781,90.7031,0.2661,0.0012,0.2254,90.7044,0.5254,100.0000,100.0000,0.0501,0.0133,0.1620,1.0000,0.3151,0.9829,1.1313,0.9951
37.5000,0.0328,0.0135,0.0009,0.0006,10.9979,4.9957,0.4255,7.8562,8.4946,0.0302,0.0916,0.0318,0.0916,1.0209,32.2979,4.3884,77.8564,0.2453,0.0010,0.1849,77.8574,0.4781,100.0000,100.0000,0.0505,0.0130,0.1214,1.0000,0.3121,0.9868,0.5478,0.9908
