MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software tool.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.camera.Transmission delay,UAV.camera.Transparency,UAV.nav.Wireless connection delay rate
50.0000,0.0217,0.0154,0.0007,0.0011,16.2880,4.4547,0.4062,7.2242,9.1239,0.0227,0.1357,0.0295,0.1357,2.7737,2.6195,-32.2294,111.9859,0.3236,0.0017,0.2987,111.9876,0.6611,100.0000,100.0000,0.0456,0.0157,0.2374,1.1357,1.0000,1.3965
50.0000,0.0226,0.0166,0.0010,0.0008,10.3456,0.4435,0.3776,17.9340,9.0740,0.0251,0.1051,0.0258,0.1051,2.8977,23.6387,-12.7963,87.8138,0.2611,0.0016,0.2619,87.8154,0.5640,82.0660,82.0660,0.0064,0.0134,0.2421,0.6711,1.0000,1.3532
50.0000,0.0214,0.0094,0.0010,0.0008,8.7519,3.5208,0.5366,4.6176,9.0855,0.0310,0.0729,0.0314,0.0729,1.9473,45.2214,21.3290,62.9945,0.2082,0.0008,0.1525,62.9954,0.3934,100.0000,100.0000,0.0361,0.0113,0.1052,1.1351,1.0000,0.9789
50.0000,0.0213,0.0150,0.0007,0.0008,11.3195,2.2193,0.2110,17.9234,9.1034,0.0264,0.1149,0.0313,0.1149,2.5244,16.6016,-16.8874,95.9066,0.2876,0.0016,0.2592,95.9082,0.5844,82.0766,82.0766,0.0279,0.0089,0.2223,0.5892,1.0000,1.0747
50.0000,0.0264,0.0166,0.0010,0.0006,9.3475,2.2410,0.7425,15.9336,8.2584,0.0171,0.1248,0.0290,0.1248,1.2128,10.9566,-9.6632,102.3987,0.2957,0.0012,0.2080,102.3999,0.5483,84.0664,84.0664,0.0273,0.0111,0.1696,0.9486,0.9700,0.8831
50.0000,0.0246,0.0154,0.0009,0.0007,15.5708,0.2840,0.0961,6.8384,9.2012,0.0290,0.1298,0.0309,0.1298,2.9030,5.9459,-35.9256,108.1602,0.3194,0.0020,0.3187,108.1622,0.6796,100.0000,100.0000,0.0038,0.0087,0.3062,0.5508,1.0000,0.8018
50.0000,0.0264,0.0160,0.0006,0.0007,16.3414,1.7020,0.5416,7.7188,9.0094,0.0241,0.1362,0.0176,0.1362,1.5129,2.1216,-35.9424,112.5582,0.3140,0.0020,0.3221,112.5601,0.6797,100.0000,100.0000,0.0176,0.0113,0.2932,0.6805,1.0000,0.8141
50.0000,0.0282,0.0147,0.0006,0.0011,16.1711,5.1391,0.7012,3.6553,9.9261,0.0203,0.1922,0.0199,0.1922,2.8488,-36.3395,-50.3969,156.7888,0.4246,0.0016,0.2829,156.7904,0.7520,100.0000,100.0000,0.0525,0.0093,0.2211,1.1530,0.9700,0.8738
50.0000,0.0228,0.0162,0.0007,0.0009,15.3785,0.5553,0.2547,2.2028,9.5776,0.0222,0.1282,0.0198,0.1282,2.4654,7.9497,-31.3440,105.8559,0.2983,0.0020,0.3179,105.8579,0.6567,100.0000,100.0000,0.0066,0.0142,0.2971,1.1373,1.0000,1.1207
50.0000,0.0220,0.0166,0.0006,0.0010,11.4999,1.9678,0.5967,14.8169,9.8866,0.0235,0.1125,0.0189,0.1125,2.2313,18.6715,-6.7281,93.5265,0.2674,0.0013,0.2260,93.5278,0.5336,100.0000,100.0000,0.0207,0.0139,0.1913,1.3380,1.0000,1.2763
50.0000,0.0198,0.0132,0.0011,0.0007,9.8455,0.4103,0.2432,5.5996,8.7501,0.0219,0.0820,0.0317,0.0820,1.0918,40.0658,7.8675,68.9230,0.2177,0.0012,0.2082,68.9243,0.4607,100.0000,100.0000,0.0047,0.0143,0.1892,1.1275,1.0000,0.8939
50.0000,0.0182,0.0089,0.0007,0.0007,10.8705,1.2494,0.4073,1.4627,9.8385,0.0315,0.0906,0.0256,0.0906,1.7187,32.8671,3.3705,77.2015,0.2383,0.0013,0.2164,77.2028,0.4831,100.0000,100.0000,0.0133,0.0101,0.1931,1.0629,1.0000,1.1355
50.0000,0.0267,0.0169,0.0008,0.0011,16.7302,5.0643,0.6211,9.8178,8.9301,0.0189,0.1394,0.0322,0.1394,2.2049,0.5413,-34.6902,114.3758,0.3300,0.0017,0.2980,114.3775,0.6735,100.0000,100.0000,0.0515,0.0127,0.2337,1.0529,1.0000,0.7142
50.0000,0.0282,0.0148,0.0010,0.0010,8.9346,4.9050,0.7405,12.0503,8.2078,0.0228,0.1005,0.0264,0.1005,1.7773,27.0857,12.2651,83.8507,0.2503,0.0007,0.1434,83.8515,0.4387,100.0000,100.0000,0.0499,0.0126,0.0809,1.3196,0.9700,0.6234
50.0000,0.0303,0.0144,0.0009,0.0009,11.3663,5.5457,0.3454,12.7269,8.3540,0.0191,0.0947,0.0258,0.0947,2.3960,31.6199,6.6781,78.6361,0.2343,0.0010,0.1858,78.6371,0.4666,100.0000,100.0000,0.0563,0.0123,0.1171,0.7349,1.0000,1.2706
50.0000,0.0259,0.0090,0.0008,0.0008,12.7056,1.6549,0.5862,2.8817,8.3276,0.0186,0.1059,0.0173,0.1059,1.7347,23.9171,-6.6219,87.4939,0.2477,0.0015,0.2488,87.4954,0.5331,100.0000,100.0000,0.0173,0.0100,0.2215,1.0916,1.0000,0.8662
50.0000,0.0328,0.0122,0.0007,0.0009,16.8062,2.0005,0.1125,14.5588,9.1255,0.0257,0.1639,0.0177,0.1639,1.9509,-17.3844,-50.1857,134.9900,0.3713,0.0020,0.3330,134.9920,0.7509,100.0000,100.0000,0.0208,0.0153,0.2969,0.7624,1.0000,1.4451
50.0000,0.0176,0.0169,0.0008,0.0006,8.7186,3.3580,0.7368,13.9417,9.0457,0.0235,0.1146,0.0304,0.1146,1.1119,17.2219,4.7449,95.1940,0.2831,0.0008,0.1573,95.1948,0.4763,100.0000,100.0000,0.0342,0.0153,0.1078,1.0691,0.9700,1.1374
50.0000,0.0220,0.0087,0.0007,0.0007,15.1825,0.9791,0.7948,7.3445,8.6234,0.0177,0.1592,0.0188,0.1592,2.3507,-13.0372,-39.5253,129.9909,0.3548,0.0019,0.3107,129.9928,0.6976,100.0000,100.0000,0.0108,0.0154,0.2845,1.3135,0.9700,0.7356
50.0000,0.0257,0.0139,0.0009,0.0009,14.0389,0.9038,0.0748,6.5266,9.4835,0.0242,0.1170,0.0190,0.1170,2.8355,15.4550,-20.6288,97.2250,0.2772,0.0017,0.2845,97.2267,0.6031,100.0000,100.0000,0.0100,0.0115,0.2630,0.5871,1.0000,0.5340
50.0000,0.0260,0.0136,0.0009,0.0009,9.7263,4.8813,0.2483,11.0557,8.5737,0.0172,0.0811,0.0184,0.0811,2.1480,41.3658,19.9623,67.4286,0.1978,0.0008,0.1610,67.4294,0.4002,100.0000,100.0000,0.0497,0.0138,0.0975,1.0938,1.0000,1.1332
50.0000,0.0266,0.0142,0.0011,0.0006,14.9660,5.3408,0.8112,6.2351,9.8807,0.0298,0.1537,0.0284,0.1537,2.9984,-10.8481,-33.3510,127.4738,0.3657,0.0015,0.2585,127.4753,0.6668,100.0000,100.0000,0.0547,0.0111,0.1928,1.4683,0.9700,0.5238
50.0000,0.0236,0.0133,0.0009,0.0009,14.6189,4.5682,0.2590,1.6095,9.4486,0.0213,0.1218,0.0254,0.1218,1.5190,12.4796,-17.3261,100.6470,0.2903,0.0015,0.2577,100.6485,0.5866,100.0000,100.0000,0.0464,0.0098,0.2015,0.9350,1.0000,0.9125
50.0000,0.0198,0.0096,0.0010,0.0006,14.5395,1.8507,0.1804,13.8160,9.1231,0.0330,0.1406,0.0173,0.1406,1.1831,-2.1027,-29.4113,117.4164,0.3315,0.0017,0.2846,117.4182,0.6471,100.0000,100.0000,0.0190,0.0113,0.2543,0.5166,1.0000,1.0310
50.0000,0.0223,0.0120,0.0010,0.0008,10.4555,0.4579,0.6571,10.5708,9.1666,0.0181,0.0871,0.0232,0.0871,2.4846,37.0316,5.9965,72.4123,0.2155,0.0013,0.2185,72.4137,0.4700,100.0000,100.0000,0.0054,0.0127,0.2004,0.6367,1.0000,0.7570
50.0000,0.0297,0.0117,0.0009,0.0010,13.4871,3.8330,0.9095,11.4190,8.9345,0.0200,0.1236,0.0297,0.1236,1.0876,11.4211,-22.0097,101.8642,0.2969,0.0015,0.2698,101.8657,0.6100,90.9485,90.9485,0.0427,0.0143,0.2128,0.9534,0.9500,0.8654
50.0000,0.0325,0.0118,0.0009,0.0010,9.2892,1.9791,0.2372,14.4852,8.5584,0.0220,0.0905,0.0249,0.0905,1.1877,34.1525,8.5764,75.7236,0.2280,0.0010,0.1829,75.7247,0.4571,100.0000,100.0000,0.0203,0.0156,0.1469,0.7134,1.0000,1.3313
50.0000,0.0223,0.0112,0.0008,0.0008,13.4598,2.5690,0.4525,12.2093,8.2351,0.0205,0.1122,0.0198,0.1122,1.3619,19.2975,-11.7498,92.8063,0.2646,0.0015,0.2590,92.8078,0.5587,100.0000,100.0000,0.0264,0.0140,0.2185,1.3630,1.0000,1.3182
50.0000,0.0208,0.0089,0.0007,0.0010,15.3436,1.8886,0.0178,3.6851,9.4580,0.0242,0.1279,0.0257,0.1279,1.4362,7.8914,-27.0929,105.9231,0.3056,0.0018,0.2985,105.9249,0.6355,100.0000,100.0000,0.0196,0.0094,0.2696,0.9779,1.0000,0.8178
50.0000,0.0212,0.0092,0.0008,0.0007,16.1473,4.9033,0.4374,7.8163,8.9802,0.0212,0.1346,0.0204,0.1346,1.7176,3.6322,-26.2580,110.8213,0.3107,0.0017,0.2887,110.8229,0.6313,100.0000,100.0000,0.0497,0.0135,0.2255,0.8086,1.0000,1.1499
